usage_id,customer_id,subscription_id,usage_month,sessions,queries,dashboards_viewed,genie_questions
U00146,C0012,S0012,2026-06-01,8,26,21,14
U00147,C0012,S0012,2026-07-01,5,23,11,3
U00148,C0013,S0013,2025-07-01,8,32,39,15
U00149,C0013,S0013,2025-08-01,8,72,11,2
U00150,C0013,S0013,2025-09-01,9,18,10,2
U00151,C0013,S0013,2025-10-01,1,6,4,1
U00152,C0013,S0013,2025-11-01,0,0,0,0
U00153,C0013,S0013,2025-12-01,5,23,21,3
U00154,C0013,S0013,2026-01-01,7,39,29,6
U00155,C0013,S0013,2026-02-01,11,66,49,7
U00156,C0013,S0013,2026-03-01,8,65,17,14
U00157,C0013,S0013,2026-04-01,10,81,22,14
U00158,C0013,S0013,2026-05-01,11,59,53,12
U00159,C0013,S0013,2026-06-01,9,62,13,8
U00160,C0013,S0013,2026-07-01,11,75,18,15
U00161,C0014,S0014,2026-03-01,10,53,19,14
U00162,C0014,S0014,2026-04-01,26,70,60,28
U00163,C0014,S0014,2026-05-01,30,213,75,53
U00164,C0014,S0014,2026-06-01,24,54,103,35
U00165,C0014,S0014,2026-07-01,18,149,35,18
U00166,C0015,S0015,2025-12-01,23,53,28,31
U00167,C0015,S0015,2026-01-01,0,0,0,0
U00168,C0015,S0015,2026-02-01,25,67,125,19
U00169,C0015,S0015,2026-03-01,24,234,94,14
U00170,C0015,S0015,2026-04-01,16,147,52,15
U00171,C0015,S0015,2026-05-01,26,125,71,23
U00172,C0015,S0015,2026-06-01,23,73,74,37
U00173,C0015,S0015,2026-07-01,19,99,27,35
U00174,C0016,S0016,2025-05-01,8,23,29,11
U00175,C0016,S0016,2025-06-01,5,38,22,7
U00176,C0016,S0016,2025-07-01,8,60,16,13
U00177,C0016,S0016,2025-08-01,8,45,11,10
U00178,C0016,S0016,2025-09-01,7,36,30,11
U00179,C0016,S0016,2025-10-01,3,28,11,4
U00180,C0016,S0016,2025-11-01,3,10,8,4
U00181,C0016,S0016,2025-12-01,5,18,7,10
U00182,C0016,S0016,2026-01-01,9,89,18,11
U00183,C0016,S0016,2026-02-01,9,83,22,12
U00184,C0016,S0016,2026-03-01,9,78,26,6
U00185,C0016,S0016,2026-04-01,7,27,32,7
U00186,C0016,S0016,2026-05-01,0,0,0,0
U00187,C0016,S0016,2026-06-01,4,37,20,4
U00188,C0016,S0016,2026-07-01,3,28,7,3
U00189,C0017,S0017,2026-05-01,2,12,9,1
U00190,C0017,S0017,2026-06-01,2,11,5,1
U00191,C0017,S0017,2026-07-01,4,15,9,6
U00192,C0018,S0018,2026-03-01,26,174,96,26
U00193,C0018,S0018,2026-04-01,17,119,33,14
U00194,C0018,S0018,2026-05-01,19,125,71,17
U00195,C0018,S0018,2026-06-01,34,251,143,26
U00196,C0019,S0019,2026-02-01,7,21,16,4
U00197,C0019,S0019,2026-03-01,3,19,8,6
U00198,C0019,S0019,2026-04-01,10,80,48,9
U00199,C0019,S0019,2026-05-01,6,42,8,12
U00200,C0019,S0019,2026-06-01,3,14,5,2
U00201,C0019,S0019,2026-07-01,11,56,41,7
U00202,C0020,S0020,2026-04-01,5,26,17,7
U00203,C0020,S0020,2026-05-01,11,71,19,16
U00204,C0020,S0020,2026-06-01,5,35,23,9
U00205,C0020,S0020,2026-07-01,4,22,7,1
U00206,C0021,S0021,2025-02-01,22,97,105,39
U00207,C0021,S0021,2025-03-01,23,63,50,20
U00208,C0021,S0021,2025-04-01,20,101,44,20
U00209,C0021,S0021,2025-05-01,14,57,31,9
U00210,C0021,S0021,2025-06-01,29,143,83,20
U00211,C0021,S0021,2025-07-01,19,42,25,8
U00212,C0021,S0021,2025-08-01,16,91,27,10
U00213,C0021,S0021,2025-09-01,28,62,98,36
U00214,C0022,S0022,2026-04-01,8,65,19,5
U00215,C0022,S0022,2026-05-01,3,30,12,1
U00216,C0022,S0022,2026-06-01,3,24,12,5
U00217,C0022,S0022,2026-07-01,9,24,30,16
U00218,C0023,S0023,2026-04-01,8,57,10,10
U00219,C0023,S0023,2026-05-01,32,203,139,50
U00220,C0023,S0023,2026-06-01,14,46,49,5
U00221,C0023,S0023,2026-07-01,11,82,22,12
U00222,C0024,S0024,2026-04-01,1,7,3,1
U00223,C0024,S0024,2026-05-01,3,7,15,2
U00224,C0024,S0024,2026-06-01,3,27,15,5
U00225,C0024,S0024,2026-07-01,2,5,7,1
U00226,C0025,S0025,2025-10-01,3,20,14,4
U00227,C0025,S0025,2025-11-01,3,13,8,5
U00228,C0025,S0025,2025-12-01,10,34,44,13
U00229,C0025,S0025,2026-01-01,4,26,20,6
U00230,C0025,S0025,2026-02-01,5,46,9,2
U00231,C0025,S0025,2026-03-01,11,36,42,8
U00232,C0025,S0025,2026-04-01,6,41,14,10
U00233,C0025,S0025,2026-05-01,9,46,10,11
U00234,C0025,S0025,2026-06-01,3,7,14,1
U00235,C0025,S0025,2026-07-01,8,54,14,10
U00236,C0026,S0026,2026-06-01,9,19,13,9
U00237,C0026,S0026,2026-07-01,9,27,39,4
U00238,C0027,S0027,2025-10-01,7,29,22,2
U00239,C0027,S0027,2025-11-01,3,12,6,1
U00240,C0027,S0027,2025-12-01,6,56,24,12
U00241,C0027,S0027,2026-01-01,7,26,26,14
U00242,C0027,S0027,2026-02-01,7,62,19,10
U00243,C0027,S0027,2026-03-01,5,28,25,9
U00244,C0027,S0027,2026-04-01,2,4,6,1
U00245,C0027,S0027,2026-05-01,9,87,9,2
U00246,C0028,S0028,2025-09-01,9,32,17,3
U00247,C0028,S0028,2025-10-01,3,20,4,4
U00248,C0028,S0028,2025-11-01,3,9,13,2
U00249,C0028,S0028,2025-12-01,5,44,11,10
U00250,C0028,S0028,2026-01-01,7,17,32,7
U00251,C0028,S0028,2026-02-01,5,28,10,7
U00252,C0028,S0028,2026-03-01,3,19,7,4
U00253,C0028,S0028,2026-04-01,7,70,35,5
U00254,C0028,S0028,2026-05-01,5,26,14,9
U00255,C0028,S0028,2026-06-01,11,29,47,19
U00256,C0028,S0028,2026-07-01,9,69,38,15
U00257,C0029,S0029,2025-03-01,8,40,19,7
U00258,C0029,S0029,2025-04-01,11,71,12,6
U00259,C0029,S0029,2025-05-01,7,64,14,5
U00260,C0029,S0029,2025-06-01,5,43,18,6
U00261,C0029,S0029,2025-07-01,5,46,16,3
U00262,C0029,S0029,2025-08-01,4,30,18,8
U00263,C0029,S0029,2025-09-01,9,55,18,11
U00264,C0029,S0029,2025-10-01,9,61,33,7
U00265,C0029,S0029,2025-11-01,8,49,12,9
U00266,C0029,S0029,2025-12-01,8,56,13,5
U00267,C0029,S0029,2026-01-01,8,44,13,14
U00268,C0029,S0029,2026-02-01,3,14,9,4
U00269,C0029,S0029,2026-03-01,3,29,3,5
U00270,C0029,S0029,2026-04-01,4,33,8,4
U00271,C0029,S0029,2026-05-01,3,15,13,3
U00272,C0029,S0029,2026-06-01,9,29,30,5
U00273,C0029,S0029,2026-07-01,6,50,15,2
U00274,C0030,S0030,2025-10-01,72,443,184,96
U00275,C0030,S0030,2025-11-01,25,208,75,38
U00276,C0030,S0030,2025-12-01,0,0,0,0
U00277,C0030,S0030,2026-01-01,45,106,127,83
U00278,C0030,S0030,2026-02-01,88,344,304,25
U00279,C0030,S0030,2026-03-01,80,521,342,73
U00280,C0030,S0030,2026-04-01,36,245,83,47
U00281,C0030,S0030,2026-05-01,56,153,218,30
U00282,C0030,S0030,2026-06-01,74,244,171,88
U00283,C0030,S0030,2026-07-01,43,92,107,83
U00284,C0031,S0031,2025-04-01,6,39,14,1
U00285,C0031,S0031,2025-05-01,10,33,13,9
U00286,C0031,S0031,2025-06-01,5,26,12,10
U00287,C0031,S0031,2025-07-01,9,25,40,8
U00288,C0031,S0031,2025-08-01,11,32,47,12
U00289,C0031,S0031,2025-09-01,4,20,9,6
U00290,C0031,S0031,2025-10-01,8,73,34,2
U00291,C0031,S0031,2025-11-01,6,50,7,2
U00292,C0031,S0031,2025-12-01,11,93,16,5
U00293,C0031,S0031,2026-01-01,7,18,21,10
U00294,C0031,S0031,2026-02-01,6,30,26,12
U00295,C0031,S0031,2026-03-01,11,50,23,8
U00296,C0031,S0031,2026-04-01,4,20,19,5
U00297,C0031,S0031,2026-05-01,10,96,27,3
U00298,C0031,S0031,2026-06-01,8,33,20,4
U00299,C0031,S0031,2026-07-01,11,54,16,4
U00300,C0032,S0032,2025-08-01,3,9,4,3
U00301,C0032,S0032,2025-09-01,9,44,16,11
U00302,C0032,S0032,2025-10-01,5,19,11,5
U00303,C0032,S0032,2025-11-01,11,30,35,22
U00304,C0032,S0032,2025-12-01,8,64,28,7
U00305,C0032,S0032,2026-01-01,10,78,21,4
U00306,C0032,S0032,2026-02-01,3,28,10,2
U00307,C0032,S0032,2026-03-01,11,65,32,12
U00308,C0032,S0032,2026-04-01,10,79,33,10
U00309,C0032,S0032,2026-05-01,4,32,5,4
U00310,C0032,S0032,2026-06-01,7,16,9,10
U00311,C0032,S0032,2026-07-01,7,61,11,13
U00312,C0033,S0033,2025-09-01,9,24,28,6
U00313,C0033,S0033,2025-10-01,3,10,11,4
U00314,C0033,S0033,2025-11-01,5,32,5,2
U00315,C0033,S0033,2025-12-01,6,57,19,3
U00316,C0033,S0033,2026-01-01,10,36,25,2
U00317,C0033,S0033,2026-02-01,6,54,28,10
U00318,C0033,S0033,2026-03-01,8,25,13,15
U00319,C0033,S0033,2026-04-01,11,52,42,8
U00320,C0033,S0033,2026-05-01,9,80,30,13
U00321,C0033,S0033,2026-06-01,9,31,39,4
U00322,C0033,S0033,2026-07-01,10,87,30,18
U00323,C0034,S0034,2025-12-01,7,18,13,4
U00324,C0034,S0034,2026-01-01,5,41,22,3
U00325,C0034,S0034,2026-02-01,9,21,13,2
U00326,C0034,S0034,2026-03-01,3,16,13,5
U00327,C0034,S0034,2026-04-01,0,0,0,0
U00328,C0034,S0034,2026-05-01,3,11,6,3
U00329,C0034,S0034,2026-06-01,3,21,9,1
U00330,C0034,S0034,2026-07-01,7,43,20,12
U00331,C0035,S0035,2025-03-01,10,21,21,20
U00332,C0035,S0035,2025-04-01,10,49,34,6
U00333,C0035,S0035,2025-05-01,4,32,7,3
U00334,C0035,S0035,2025-06-01,9,65,16,15
U00335,C0035,S0035,2025-07-01,10,81,36,12
U00336,C0035,S0035,2025-08-01,7,22,28,3
U00337,C0035,S0035,2025-09-01,9,83,37,17
U00338,C0035,S0035,2025-10-01,4,25,16,5
U00339,C0035,S0035,2025-11-01,4,34,13,7
U00340,C0035,S0035,2025-12-01,5,42,5,8
U00341,C0036,S0036,2026-05-01,30,76,129,37
U00342,C0036,S0036,2026-06-01,0,0,0,0
U00343,C0036,S0036,2026-07-01,17,94,42,24
U00344,C0037,S0037,2025-06-01,6,47,8,3
U00345,C0037,S0037,2025-07-01,6,15,29,7
U00346,C0037,S0037,2025-08-01,7,27,28,7
U00347,C0037,S0037,2025-09-01,10,41,28,4
U00348,C0037,S0037,2025-10-01,11,110,43,18
U00349,C0037,S0037,2025-11-01,6,47,13,7
U00350,C0037,S0037,2025-12-01,6,49,13,5
U00351,C0037,S0037,2026-01-01,4,29,13,6
U00352,C0037,S0037,2026-02-01,9,55,35,8
U00353,C0037,S0037,2026-03-01,11,109,53,20
U00354,C0037,S0037,2026-04-01,10,63,49,3
U00355,C0037,S0037,2026-05-01,4,29,6,5
U00356,C0037,S0037,2026-06-01,4,24,16,1
U00357,C0037,S0037,2026-07-01,10,40,33,10
U00358,C0038,S0038,2025-09-01,0,0,0,0
U00359,C0038,S0038,2025-10-01,36,143,168,20
U00360,C0038,S0038,2025-11-01,27,189,52,39
U00361,C0038,S0038,2025-12-01,74,232,138,39
U00362,C0038,S0038,2026-01-01,63,280,195,22
U00363,C0038,S0038,2026-02-01,82,377,155,159
U00364,C0038,S0038,2026-03-01,23,155,68,21
U00365,C0038,S0038,2026-04-01,82,455,178,138
U00366,C0038,S0038,2026-05-01,35,283,135,45
U00367,C0038,S0038,2026-06-01,43,179,164,86
U00368,C0038,S0038,2026-07-01,20,117,79,21
U00369,C0039,S0039,2026-05-01,5,28,6,8
U00370,C0039,S0039,2026-06-01,3,23,7,3
U00371,C0039,S0039,2026-07-01,5,44,8,8
U00372,C0040,S0040,2025-03-01,34,328,114,45
U00373,C0040,S0040,2025-04-01,50,240,172,62
U00374,C0040,S0040,2025-05-01,53,143,205,23
U00375,C0040,S0040,2025-06-01,45,248,199,38
U00376,C0040,S0040,2025-07-01,61,608,66,30
U00377,C0040,S0040,2025-08-01,34,207,143,44
U00378,C0040,S0040,2025-09-01,88,576,229,93
U00379,C0040,S0040,2025-10-01,43,206,212,11
U00380,C0040,S0040,2025-11-01,34,72,93,42
U00381,C0040,S0040,2025-12-01,32,148,73,49
U00382,C0040,S0040,2026-01-01,40,86,118,17
U00383,C0040,S0040,2026-02-01,47,259,228,50
U00384,C0040,S0040,2026-03-01,22,111,86,5
U00385,C0040,S0040,2026-04-01,53,228,127,72
U00386,C0040,S0040,2026-05-01,88,201,307,60
U00387,C0040,S0040,2026-06-01,33,158,138,26
U00388,C0040,S0040,2026-07-01,75,574,319,147
U00389,C0041,S0041,2025-05-01,1,6,5,2
U00390,C0041,S0041,2025-06-01,2,6,4,1
U00391,C0041,S0041,2025-07-01,2,5,8,2
U00392,C0041,S0041,2025-08-01,1,6,5,2
U00393,C0041,S0041,2025-09-01,2,18,5,0
U00394,C0041,S0041,2025-10-01,4,39,15,7
U00395,C0041,S0041,2025-11-01,2,13,8,3
U00396,C0041,S0041,2025-12-01,2,18,9,2
U00397,C0041,S0041,2026-01-01,5,41,6,10
U00398,C0041,S0041,2026-02-01,3,26,4,1
U00399,C0041,S0041,2026-03-01,2,5,9,3
U00400,C0041,S0041,2026-04-01,4,31,9,6
U00401,C0041,S0041,2026-05-01,3,21,12,2
U00402,C0041,S0041,2026-06-01,4,28,8,7
U00403,C0041,S0041,2026-07-01,3,19,8,5
U00404,C0042,S0042,2026-04-01,3,11,11,5
U00405,C0042,S0042,2026-05-01,7,40,13,7
U00406,C0042,S0042,2026-06-01,3,13,5,1
U00407,C0042,S0042,2026-07-01,9,18,43,18
U00408,C0043,S0043,2025-08-01,6,39,29,3
U00409,C0043,S0043,2025-09-01,4,38,9,5
U00410,C0043,S0043,2025-10-01,9,41,40,11
U00411,C0043,S0043,2025-11-01,3,27,7,4
U00412,C0043,S0043,2025-12-01,11,93,22,17
U00413,C0043,S0043,2026-01-01,7,24,24,8
U00414,C0043,S0043,2026-02-01,9,39,39,9
U00415,C0043,S0043,2026-03-01,3,23,5,2
U00416,C0043,S0043,2026-04-01,7,44,9,8
U00417,C0043,S0043,2026-05-01,4,32,9,3
U00418,C0043,S0043,2026-06-01,9,36,26,15
U00419,C0043,S0043,2026-07-01,4,30,4,2
U00420,C0044,S0044,2025-10-01,31,95,63,38
U00421,C0044,S0044,2025-11-01,24,102,49,9
U00422,C0044,S0044,2025-12-01,26,131,35,36
U00423,C0044,S0044,2026-01-01,17,124,37,32
U00424,C0044,S0044,2026-02-01,28,248,32,29
U00425,C0045,S0045,2025-07-01,10,81,48,18
U00426,C0045,S0045,2025-08-01,11,39,17,6
U00427,C0045,S0045,2025-09-01,3,15,13,4
U00428,C0045,S0045,2025-10-01,5,41,19,3
U00429,C0045,S0045,2025-11-01,6,60,17,9
U00430,C0045,S0045,2025-12-01,6,55,23,9
U00431,C0045,S0045,2026-01-01,5,17,23,1
U00432,C0045,S0045,2026-02-01,10,68,20,17
U00433,C0045,S0045,2026-03-01,9,20,20,18
U00434,C0045,S0045,2026-04-01,4,22,6,1
U00435,C0045,S0045,2026-05-01,7,48,17,8
U00436,C0045,S0045,2026-06-01,4,27,17,4
U00437,C0045,S0045,2026-07-01,9,71,19,15
U00438,C0046,S0046,2026-02-01,7,23,14,9
U00439,C0046,S0046,2026-03-01,9,46,10,12
U00440,C0046,S0046,2026-04-01,7,37,30,12
U00441,C0046,S0046,2026-05-01,4,24,19,7
U00442,C0046,S0046,2026-06-01,8,58,12,15
U00443,C0046,S0046,2026-07-01,3,27,14,2
U00444,C0047,S0047,2025-12-01,4,22,14,6
U00445,C0047,S0047,2026-01-01,8,66,11,4
U00446,C0047,S0047,2026-02-01,19,132,73,28
U00447,C0047,S0047,2026-03-01,33,76,142,18
U00448,C0047,S0047,2026-04-01,20,173,35,6
U00449,C0047,S0047,2026-05-01,12,43,51,9
U00450,C0047,S0047,2026-06-01,13,28,19,12
U00451,C0047,S0047,2026-07-01,32,89,83,18
U00452,C0048,S0048,2025-07-01,5,32,16,3
U00453,C0048,S0048,2025-08-01,5,19,11,9
U00454,C0048,S0048,2025-09-01,4,14,8,6
U00455,C0048,S0048,2025-10-01,0,0,0,0
U00456,C0048,S0048,2025-11-01,5,13,12,9
U00457,C0048,S0048,2025-12-01,10,69,19,20
U00458,C0048,S0048,2026-01-01,6,17,11,11
U00459,C0048,S0048,2026-02-01,4,29,18,1
U00460,C0048,S0048,2026-03-01,5,26,14,4
U00461,C0048,S0048,2026-04-01,10,44,48,3
U00462,C0048,S0048,2026-05-01,9,55,27,7
U00463,C0048,S0048,2026-06-01,11,42,48,15
U00464,C0048,S0048,2026-07-01,4,26,6,7
U00465,C0049,S0049,2025-02-01,32,142,124,31
U00466,C0049,S0049,2025-03-01,75,242,85,117
U00467,C0049,S0049,2025-04-01,30,212,102,41
U00468,C0049,S0049,2025-05-01,72,207,309,102
U00469,C0049,S0049,2025-06-01,29,267,69,42
U00470,C0049,S0049,2025-07-01,55,338,207,52
U00471,C0049,S0049,2025-08-01,31,285,86,49
U00472,C0049,S0049,2025-09-01,40,328,61,62
U00473,C0049,S0049,2025-10-01,23,225,28,44
U00474,C0049,S0049,2025-11-01,6,18,13,9
U00475,C0049,S0049,2025-12-01,20,155,54,21
U00476,C0049,S0049,2026-01-01,83,519,326,72
U00477,C0049,S0049,2026-02-01,83,535,121,26
U00478,C0049,S0049,2026-03-01,73,542,330,92
U00479,C0049,S0049,2026-04-01,52,344,80,42
U00480,C0049,S0049,2026-05-01,28,252,80,20
U00481,C0049,S0049,2026-06-01,50,401,134,17
U00482,C0049,S0049,2026-07-01,44,97,166,40
U00483,C0050,S0050,2026-06-01,13,112,25,5
U00484,C0050,S0050,2026-07-01,26,212,54,48
U00485,C0051,S0051,2025-09-01,10,71,45,3
U00486,C0051,S0051,2025-10-01,8,59,27,14
U00487,C0051,S0051,2025-11-01,11,67,25,17
U00488,C0051,S0051,2025-12-01,8,67,19,9
U00489,C0051,S0051,2026-01-01,8,69,24,6
U00490,C0051,S0051,2026-02-01,9,33,17,4
U00491,C0051,S0051,2026-03-01,5,37,15,5
U00492,C0051,S0051,2026-04-01,8,37,19,15
U00493,C0051,S0051,2026-05-01,4,35,8,3
U00494,C0051,S0051,2026-06-01,6,57,19,2
U00495,C0051,S0051,2026-07-01,9,47,27,5
U00496,C0052,S0052,2026-02-01,68,612,234,63
U00497,C0052,S0052,2026-03-01,0,0,0,0
U00498,C0052,S0052,2026-04-01,70,528,263,55
U00499,C0052,S0052,2026-05-01,65,153,234,94
U00500,C0052,S0052,2026-06-01,76,642,292,140
U00501,C0052,S0052,2026-07-01,37,126,169,66
U00502,C0053,S0053,2025-02-01,24,112,28,29
U00503,C0053,S0053,2025-03-01,12,115,41,21
U00504,C0053,S0053,2025-04-01,10,31,41,9
U00505,C0053,S0053,2025-05-01,32,302,80,61
U00506,C0053,S0053,2025-06-01,21,153,62,12
U00507,C0053,S0053,2025-07-01,17,40,78,14
U00508,C0053,S0053,2025-08-01,14,47,36,11
U00509,C0053,S0053,2025-09-01,21,192,54,25
U00510,C0053,S0053,2025-10-01,22,183,56,7
U00511,C0053,S0053,2025-11-01,21,53,88,18
U00512,C0053,S0053,2025-12-01,8,19,15,5
U00513,C0053,S0053,2026-01-01,14,102,35,19
U00514,C0053,S0053,2026-02-01,28,255,136,35
U00515,C0053,S0053,2026-03-01,0,0,0,0
