subscription_id,customer_id,plan_name,monthly_recurring_revenue,subscription_start_date,churn_date,subscription_status,billing_frequency
S0053,C0053,Growth,2400,2/26/2025,,Active,Monthly
S0054,C0054,Starter,900,1/1/2026,,Active,Monthly
S0055,C0055,Starter,900,2/13/2025,7/3/2025,Churned,Monthly
S0056,C0056,Growth,2400,3/20/2025,6/25/2025,Churned,Annual
S0057,C0057,Growth,2400,3/19/2026,,Active,Monthly
S0058,C0058,Starter,900,7/24/2025,,Active,Annual
S0059,C0059,Growth,2400,3/18/2025,,Active,Monthly
S0060,C0060,Growth,2400,5/22/2025,,Active,Monthly
S0061,C0061,Starter,900,4/27/2026,,Trial,Monthly
S0062,C0062,Growth,2400,5/2/2026,,Active,Monthly
S0063,C0063,Starter,900,11/29/2025,,Active,Monthly
S0064,C0064,Growth,2400,4/27/2026,,Active,Monthly
S0065,C0065,Enterprise,6200,5/11/2025,,Active,Annual
S0066,C0066,Starter,900,9/6/2025,,Active,Monthly
S0067,C0067,Growth,2400,8/31/2025,,Trial,Monthly
S0068,C0068,Starter,900,6/23/2025,,Active,Monthly
S0069,C0069,Enterprise,6200,10/22/2025,,Active,Monthly
S0070,C0070,Growth,2400,6/18/2025,,Active,Monthly
S0071,C0071,Starter,900,4/21/2025,,Active,Monthly
S0072,C0072,Growth,2400,3/15/2026,,Active,Monthly
S0073,C0073,Starter,900,5/20/2026,,Trial,Monthly
S0074,C0074,Starter,900,1/26/2025,,Active,Monthly
S0075,C0075,Growth,2400,3/31/2026,,Active,Monthly
S0076,C0076,Growth,2400,10/10/2025,,Active,Monthly
S0077,C0077,Enterprise,6200,5/29/2025,,Active,Monthly
S0078,C0078,Starter,900,6/27/2025,2/27/2026,Churned,Monthly
S0079,C0079,Enterprise,6200,6/23/2025,,Active,Monthly
S0080,C0080,Growth,2400,6/15/2025,,Active,Monthly
S0081,C0081,Starter,900,5/21/2026,7/4/2027,Active,Monthly
S0082,C0082,Starter,900,11/17/2025,,Active,Monthly
S0083,C0083,Growth,2400,10/23/2025,,Active,Annual
S0084,C0084,Enterprise,6200,5/17/2026,,Active,Monthly
S0085,C0085,Starter,900,5/10/2026,,Active,Monthly
S0086,C0086,Growth,2400,2/23/2025,,Active,Monthly
S0087,C0087,Starter,900,11/20/2025,,Active,Monthly
S0088,C0088,Starter,900,5/22/2025,,Active,Monthly
S0089,C0089,Starter,900,5/4/2026,,Trial,Annual
S0090,C0090,Growth,2400,8/27/2025,,Trial,Monthly
S0091,C0091,Starter,900,5/16/2025,,Active,Monthly
S0092,C0092,Growth,2400,5/8/2026,,Active,Annual
S0093,C0093,Growth,2400,6/29/2025,,Active,Monthly
S0094,C0094,Enterprise,6200,2/2/2025,,Active,Monthly
S0095,C0095,Starter,900,6/24/2025,5/1/2026,Churned,Monthly
S0096,C0096,Growth,2400,1/8/2026,,Active,Annual
S0097,C0097,Starter,900,5/17/2025,,Trial,Monthly
S0098,C0098,Growth,2400,5/4/2025,,Active,Monthly
S0099,C0099,Starter,900,5/8/2025,1/2/2026,Churned,Monthly
S0100,C0100,Enterprise,6200,4/20/2026,,Active,Monthly
S0101,C0101,Starter,900,11/13/2025,,Active,Monthly
S0102,C0102,Enterprise,6200,2/2/2025,,Active,Monthly
S0103,C0103,Growth,2400,10/13/2025,,Active,Monthly
S0104,C0104,Starter,900,5/24/2026,,Active,Monthly
S0105,C0105,Enterprise,6200,6/12/2026,,Active,Annual
S0106,C0106,Growth,2400,4/25/2026,11/20/2026,Active,Monthly
S0107,C0107,Starter,900,9/14/2025,,Trial,Monthly
S0108,C0108,Growth,2400,3/9/2025,,Active,Monthly
S0109,C0109,Growth,2400,11/20/2025,,Active,Monthly
S0110,C0110,Growth,2400,5/14/2025,,Active,Monthly
S0111,C0111,Starter,900,5/30/2026,,Active,Monthly
S0112,C0112,Enterprise,6200,3/17/2026,,Trial,Monthly
S0113,C0113,Growth,2400,3/14/2025,,Active,Monthly
S0114,C0114,Growth,2400,3/23/2025,7/12/2025,Churned,Monthly
S0115,C0115,Starter,900,7/23/2025,,Active,Monthly
S0116,C0116,Starter,900,7/17/2025,,Active,Monthly
S0117,C0117,Growth,2400,4/12/2025,,Active,Monthly
S0118,C0118,Growth,2400,11/4/2025,,Active,Annual
S0119,C0119,Starter,900,10/22/2025,,Active,Monthly
S0120,C0120,Starter,900,11/6/2025,2/22/2026,Churned,Monthly
S0121,C0121,Starter,900,3/7/2025,,Active,Monthly
S0122,C0122,Starter,900,7/3/2025,4/9/2026,Churned,Monthly
S0123,C0123,Growth,2400,8/18/2025,,Active,Monthly
S0124,C0124,Starter,900,6/3/2025,,Active,Monthly
S0125,C0125,Growth,2400,1/24/2026,7/7/2026,Churned,Monthly
S0126,C0126,Starter,900,2/28/2025,,Active,Monthly
S0127,C0127,Starter,900,5/2/2026,,Active,Monthly
S0128,C0128,Starter,900,11/25/2025,,Active,Monthly
S0129,C0129,Enterprise,6200,2/18/2025,,Active,Monthly
S0130,C0130,Starter,900,2/16/2025,,Active,Monthly
S0131,C0131,Enterprise,6200,10/16/2025,,Active,Annual
S0132,C0132,Growth,2400,11/13/2025,,Trial,Monthly
S0133,C0133,Starter,900,2/15/2025,,Trial,Monthly
S0134,C0134,Growth,2400,10/12/2025,,Active,Monthly
S0135,C0135,Growth,2400,7/3/2025,,Active,Monthly
S0136,C0136,Enterprise,6200,10/30/2025,,Active,Monthly
S0137,C0137,Starter,900,4/8/2026,,Active,Annual
S0138,C0138,Starter,900,7/9/2025,8/28/2026,Active,Monthly
S0139,C0139,Growth,2400,5/30/2026,,Active,Annual
S0140,C0140,Starter,900,2/13/2026,,Active,Monthly
S0141,C0141,Growth,2400,5/4/2026,,Active,Monthly
S0142,C0142,Growth,2400,4/17/2026,,Active,Annual
S0143,C0143,Starter,900,2/12/2025,,Active,Monthly
S0144,C0144,Starter,900,3/21/2025,,Active,Monthly
S0145,C0145,Growth,2400,5/15/2025,,Active,Monthly
S0146,C0146,Growth,2400,7/31/2025,,Active,Monthly
S0147,C0147,Starter,900,4/24/2026,,Active,Monthly
S0148,C0148,Growth,2400,3/29/2026,,Active,Annual
S0149,C0149,Growth,2400,8/9/2025,,Active,Monthly
S0150,C0150,Growth,2400,5/4/2025,,Active,Annual
S0151,C0151,Growth,2400,1/15/2026,,Trial,Annual
S0152,C0152,Starter,900,10/17/2025,,Active,Monthly
S0153,C0153,Growth,2400,3/22/2025,,Active,Monthly
S0154,C0154,Growth,2400,3/10/2026,,Active,Monthly
S0155,C0155,Enterprise,6200,5/10/2025,,Active,Monthly
S0156,C0156,Growth,2400,7/26/2025,5/29/2026,Churned,Monthly
S0157,C0157,Starter,900,1/3/2026,,Active,Monthly
S0158,C0158,Growth,2400,4/12/2026,,Trial,Monthly
S0159,C0159,Growth,2400,1/30/2025,,Active,Monthly
S0160,C0160,Growth,2400,4/25/2025,,Active,Monthly
S0161,C0161,Growth,2400,8/25/2025,,Active,Monthly
S0162,C0162,Starter,900,5/24/2025,,Active,Monthly
S0163,C0163,Growth,2400,3/6/2026,,Active,Monthly
S0164,C0164,Starter,900,9/4/2025,,Active,Monthly
S0165,C0165,Growth,2400,3/10/2025,,Trial,Monthly
S0166,C0166,Starter,900,2/18/2025,11/24/2025,Churned,Monthly
S0167,C0167,Starter,900,2/17/2025,,Active,Monthly
S0168,C0168,Starter,900,6/17/2025,,Active,Monthly
S0169,C0169,Growth,2400,10/2/2025,,Active,Monthly
S0170,C0170,Starter,900,5/13/2025,,Trial,Monthly
S0171,C0171,Growth,2400,2/22/2025,7/4/2025,Churned,Monthly
S0172,C0172,Starter,900,9/20/2025,,Active,Annual
S0173,C0173,Starter,900,4/15/2025,8/21/2025,Churned,Monthly
S0174,C0174,Growth,2400,3/23/2025,1/13/2026,Churned,Monthly
S0175,C0175,Starter,900,3/24/2026,1/22/2027,Active,Monthly
S0176,C0176,Growth,2400,6/9/2026,,Active,Monthly
S0177,C0177,Growth,2400,2/4/2026,,Active,Annual
S0178,C0178,Enterprise,6200,3/27/2025,12/23/2025,Churned,Monthly
S0179,C0179,Starter,900,3/2/2025,1/19/2026,Churned,Monthly
S0180,C0180,Enterprise,6200,1/1/2026,,Trial,Monthly
S0181,C0181,Enterprise,6200,10/23/2025,,Active,Monthly
S0182,C0182,Starter,900,4/28/2025,,Active,Monthly
S0183,C0183,Starter,900,7/31/2025,,Active,Monthly
S0184,C0184,Enterprise,6200,6/24/2025,,Active,Monthly
S0185,C0185,Starter,900,3/31/2026,,Active,Monthly
S0186,C0186,Growth,2400,9/26/2025,,Active,Monthly
S0187,C0187,Starter,900,1/19/2026,11/9/2026,Active,Monthly
S0188,C0188,Starter,900,7/15/2025,,Active,Monthly
S0189,C0189,Starter,900,8/12/2025,,Trial,Monthly
S0190,C0190,Growth,2400,6/23/2025,,Active,Monthly
S0191,C0191,Starter,900,10/5/2025,,Active,Monthly
S0192,C0192,Growth,2400,11/26/2025,9/4/2026,Active,Monthly
S0193,C0193,Starter,900,12/23/2025,,Active,Monthly
S0194,C0194,Growth,2400,3/5/2026,,Active,Monthly
S0195,C0195,Growth,2400,2/24/2026,,Trial,Monthly
S0196,C0196,Starter,900,2/25/2026,,Active,Monthly
S0197,C0197,Growth,2400,4/4/2026,,Active,Monthly
S0198,C0198,Starter,900,2/4/2025,,Active,Annual
S0199,C0199,Starter,900,1/30/2025,,Active,Monthly
S0200,C0200,Starter,900,9/2/2025,,Active,Monthly
S0201,C0201,Growth,2400,10/5/2025,,Trial,Annual
S0202,C0202,Starter,900,6/21/2025,11/20/2025,Churned,Monthly
S0203,C0203,Growth,2400,5/14/2026,5/31/2027,Active,Monthly
S0204,C0204,Growth,2400,3/7/2026,,Trial,Monthly
S0205,C0205,Starter,900,8/1/2025,9/6/2026,Active,Monthly
S0206,C0206,Growth,2400,1/20/2025,,Active,Monthly
S0207,C0207,Growth,2400,8/23/2025,,Active,Monthly
S0208,C0208,Growth,2400,8/26/2025,,Active,Monthly
S0209,C0209,Growth,2400,12/10/2025,,Active,Monthly
S0210,C0210,Starter,900,5/5/2026,,Active,Monthly
S0211,C0211,Growth,2400,3/25/2025,,Active,Monthly
S0212,C0212,Growth,2400,2/12/2026,10/30/2026,Active,Monthly
S0213,C0213,Starter,900,3/27/2025,,Active,Monthly
S0214,C0214,Starter,900,6/9/2026,,Active,Monthly
S0215,C0215,Enterprise,6200,12/13/2025,,Active,Annual
S0216,C0216,Enterprise,6200,10/29/2025,,Active,Annual
S0217,C0217,Growth,2400,2/15/2025,,Active,Monthly
S0218,C0218,Starter,900,5/17/2025,,Active,Monthly
S0219,C0219,Starter,900,11/8/2025,,Active,Monthly
S0220,C0220,Starter,900,4/21/2025,,Active,Monthly
S0221,C0221,Starter,900,1/28/2026,,Active,Monthly
S0222,C0222,Starter,900,2/10/2026,,Trial,Monthly
S0223,C0223,Starter,900,10/24/2025,,Active,Monthly
S0224,C0224,Growth,2400,7/8/2025,,Active,Annual
S0225,C0225,Growth,2400,9/23/2025,,Trial,Monthly
S0226,C0226,Starter,900,8/2/2025,,Active,Monthly
S0227,C0227,Growth,2400,1/28/2026,,Active,Monthly
S0228,C0228,Growth,2400,1/24/2026,,Active,Annual
S0229,C0229,Growth,2400,10/22/2025,,Active,Monthly
S0230,C0230,Enterprise,6200,8/12/2025,,Active,Monthly
S0231,C0231,Growth,2400,6/15/2025,,Active,Monthly
S0232,C0232,Starter,900,9/7/2025,2/6/2026,Churned,Monthly
S0233,C0233,Growth,2400,11/9/2025,4/3/2026,Churned,Monthly
S0234,C0234,Growth,2400,4/6/2025,7/24/2025,Churned,Monthly
S0235,C0235,Starter,900,2/20/2026,,Active,Monthly
S0236,C0236,Enterprise,6200,10/30/2025,9/30/2026,Active,Monthly
S0237,C0237,Growth,2400,6/26/2025,,Active,Monthly
S0238,C0238,Starter,900,8/13/2025,,Active,Monthly
S0239,C0239,Enterprise,6200,7/6/2025,,Active,Annual
S0240,C0240,Starter,900,9/29/2025,,Active,Monthly
S0241,C0241,Growth,2400,5/15/2026,,Active,Monthly
S0242,C0242,Growth,2400,4/20/2026,,Active,Monthly
S0243,C0243,Starter,900,3/4/2025,,Active,Monthly
S0244,C0244,Starter,900,11/12/2025,,Active,Monthly
S0245,C0245,Growth,2400,11/27/2025,,Active,Monthly
S0246,C0246,Growth,2400,5/16/2025,6/15/2026,Churned,Monthly
S0247,C0247,Starter,900,6/19/2025,,Active,Monthly
S0248,C0248,Growth,2400,2/21/2025,6/30/2025,Churned,Monthly
S0249,C0249,Starter,900,3/12/2025,,Active,Monthly
S0250,C0250,Growth,2400,8/23/2025,,Active,Annual
S0251,C0251,Starter,900,2/17/2025,,Trial,Monthly
S0252,C0252,Growth,2400,12/26/2025,,Active,Monthly
S0253,C0253,Growth,2400,1/4/2026,,Active,Monthly
S0254,C0254,Starter,900,3/23/2026,,Active,Monthly
S0255,C0255,Growth,2400,4/21/2025,,Active,Annual
S0256,C0256,Growth,2400,4/24/2026,,Active,Monthly
S0257,C0257,Growth,2400,4/28/2025,,Active,Monthly
S0258,C0258,Starter,900,10/24/2025,,Active,Monthly
S0259,C0259,Starter,900,7/22/2025,,Trial,Monthly
S0260,C0260,Growth,2400,3/23/2025,,Active,Monthly
S0261,C0261,Starter,900,4/9/2025,,Active,Monthly
S0262,C0262,Starter,900,3/18/2025,,Active,Monthly
S0263,C0263,Growth,2400,5/27/2025,,Trial,Monthly
S0264,C0264,Growth,2400,6/10/2025,2/1/2026,Churned,Monthly
S0265,C0265,Growth,2400,9/21/2025,,Active,Monthly
S0266,C0266,Enterprise,6200,2/9/2025,,Active,Monthly
S0267,C0267,Enterprise,6200,9/16/2025,,Active,Monthly
S0268,C0268,Starter,900,9/8/2025,1/8/2026,Churned,Monthly
S0269,C0269,Enterprise,6200,12/8/2025,,Active,Monthly
S0270,C0270,Starter,900,10/25/2025,,Active,Monthly
S0271,C0271,Starter,900,3/7/2025,,Active,Monthly
S0272,C0272,Growth,2400,4/12/2025,,Active,Monthly
S0273,C0273,Starter,900,4/8/2025,,Trial,Monthly
S0274,C0274,Starter,900,3/6/2025,,Active,Monthly
S0275,C0275,Growth,2400,12/15/2025,,Active,Monthly
S0276,C0276,Starter,900,1/9/2026,6/11/2026,Churned,Monthly
S0277,C0277,Starter,900,4/27/2026,,Active,Monthly
S0278,C0278,Starter,900,5/17/2025,,Active,Monthly
S0279,C0279,Growth,2400,2/23/2025,,Active,Monthly
S0280,C0280,Growth,2400,5/25/2025,6/14/2026,Churned,Monthly
S0281,C0281,Starter,900,4/8/2025,,Active,Monthly
S0282,C0282,Growth,2400,3/1/2026,,Trial,Annual
S0283,C0283,Starter,900,3/15/2026,,Active,Monthly
S0284,C0284,Growth,2400,9/13/2025,,Active,Monthly
S0285,C0285,Starter,900,2/9/2025,,Active,Monthly
S0286,C0286,Growth,2400,2/6/2026,,Active,Monthly
S0287,C0287,Starter,900,2/15/2026,,Active,Monthly
S0288,C0288,Growth,2400,4/12/2026,,Active,Monthly
S0289,C0289,Growth,2400,9/7/2025,,Active,Monthly
S0290,C0290,Starter,900,3/28/2026,,Active,Monthly
S0291,C0291,Growth,2400,11/1/2025,,Active,Monthly
S0292,C0292,Growth,2400,2/27/2025,,Active,Annual
S0293,C0293,Growth,2400,3/22/2025,,Active,Annual
S0294,C0294,Starter,900,5/9/2026,,Active,Monthly
S0295,C0295,Growth,2400,4/1/2026,,Active,Monthly
S0296,C0296,Starter,900,2/10/2026,,Active,Monthly
S0297,C0297,Starter,900,4/24/2025,,Active,Monthly
S0298,C0298,Growth,2400,4/10/2025,,Active,Annual
S0299,C0299,Growth,2400,8/12/2025,,Active,Monthly
S0300,C0300,Starter,900,4/20/2026,,Active,Monthly
