lead_id,lead_created_date,lead_source,industry,region,mql_date,qualified_date,converted_customer_id
L00035,2025-03-06,Paid Search,Healthcare,West,,,
L00036,2025-01-11,Paid Search,Financial Services,Southeast,2025-01-19,2025-02-15,
L00037,2025-04-03,Referral,Professional Services,Midwest,,,
L00038,2026-05-18,Organic Search,Financial Services,Midwest,2026-06-03,2026-06-06,
L00039,2025-10-12,Partner,Technology,Southeast,,,
L00040,2025-11-14,Organic Search,Retail,Southeast,,,
L00041,2026-06-26,Organic Search,Manufacturing,Southeast,2026-07-08,2026-07-24,
L00042,2025-01-01,Organic Search,Healthcare,Southeast,2025-01-10,,
L00043,2025-11-28,Referral,Technology,Midwest,2025-12-07,,
L00044,2025-06-14,Partner,Financial Services,Northeast,2025-06-22,2025-06-24,C0136
L00045,2025-10-26,Paid Search,Professional Services,West,2025-11-10,2025-11-04,
L00046,2025-07-13,Event,Technology,Southeast,2025-07-20,,
L00047,2026-02-03,Referral,Technology,Midwest,2026-02-22,2026-02-27,
L00048,2025-10-30,Partner,Retail,Southeast,2025-11-04,,
L00049,2026-05-07,Referral,Technology,Midwest,2026-05-10,,
L00050,2025-05-27,Outbound,Manufacturing,Midwest,2025-06-06,2025-06-16,C0292
L00051,2025-04-21,Event,Financial Services,Midwest,2025-05-04,2025-05-04,
L00052,2025-08-28,Event,Retail,Midwest,2025-09-15,2025-09-30,C0044
L00053,2025-02-07,Paid Search,Retail,Midwest,,,
L00054,2025-03-17,Partner,Manufacturing,Midwest,,,
L00055,2025-02-25,Event,Manufacturing,Midwest,,,
L00056,2025-12-13,Paid Search,Financial Services,Southeast,,,
L00057,2025-11-24,Event,Financial Services,Northeast,2025-12-04,2025-12-28,C0094
L00058,2025-09-19,Paid Search,Healthcare,Midwest,,,
L00059,2025-09-18,Organic Search,Manufacturing,West,2025-09-20,2025-09-28,
L00060,2025-12-23,Partner,Professional Services,Northeast,2026-01-11,2026-01-02,C0151
L00061,2026-02-03,Partner,Financial Services,Midwest,2026-02-18,2026-02-25,
L00062,2025-04-05,Partner,Technology,Midwest,2025-04-16,2025-04-17,
L00063,2025-03-16,Organic Search,Technology,Southeast,2025-03-20,,
L00064,2026-01-27,Partner,Financial Services,West,,,
L00065,2025-07-03,Organic Search,Manufacturing,Northeast,2025-07-22,,
L00066,2025-10-14,Organic Search,Manufacturing,Midwest,,,
L00067,2025-04-28,Referral,Financial Services,Midwest,2025-05-02,,
L00068,2026-02-07,Outbound,Retail,Northeast,2026-02-15,2026-03-06,
L00069,2025-08-16,Outbound,Financial Services,Midwest,,,
L00070,2026-07-25,Event,Technology,West,2026-08-12,2026-08-03,C0206
L00071,2026-03-14,Event,Financial Services,Midwest,2026-03-30,2026-03-31,
L00072,2025-04-22,Event,Manufacturing,West,,,
L00073,2025-03-29,Referral,Manufacturing,West,2025-04-07,2025-04-14,C0219
L00074,2026-06-17,Event,Healthcare,Southeast,,,
L00075,2026-02-25,Partner,Financial Services,West,2026-03-09,,
L00076,2025-03-11,Event,Manufacturing,West,2025-03-18,2025-03-23,
L00077,2025-01-09,Paid Search,Financial Services,West,2025-01-20,2025-02-01,C0189
L00078,2025-08-03,Event,Manufacturing,Southeast,2025-08-17,2025-09-02,
L00079,2025-12-31,Outbound,Financial Services,West,,,
L00080,2025-04-02,Referral,Retail,West,,,
L00081,2025-04-20,Partner,Professional Services,West,2025-05-07,2025-05-21,C0179
L00082,2025-07-09,Event,Healthcare,Midwest,,,
L00083,2025-03-06,Outbound,Technology,Northeast,,,
L00084,2026-07-12,Organic Search,Financial Services,Northeast,,,
L00085,2025-01-21,Paid Search,Financial Services,Midwest,2025-02-02,,
L00086,2025-12-16,Event,Healthcare,Southeast,,,
L00087,2026-07-26,Outbound,Retail,Northeast,2026-08-10,,
L00088,2025-02-14,Paid Search,Manufacturing,Northeast,2025-03-03,2025-03-16,
L00089,2025-11-05,Outbound,Retail,Northeast,2025-11-07,,
L00090,2025-07-24,Paid Search,Professional Services,Midwest,,,
L00091,2025-06-21,Partner,Financial Services,Southeast,2025-07-02,2025-07-23,
L00092,2025-02-02,Event,Healthcare,Northeast,,,
L00093,2026-02-11,Event,Healthcare,Southeast,2026-02-23,2026-03-11,
L00094,2025-10-24,Paid Search,Retail,Northeast,2025-11-11,2025-11-12,
L00095,2025-05-15,Event,Professional Services,West,2025-05-28,2025-06-06,
L00096,2025-08-15,Referral,Technology,Northeast,2025-08-18,,
L00097,2025-02-23,Organic Search,Manufacturing,Midwest,2025-03-06,,
L00098,2026-07-24,Organic Search,Manufacturing,West,2026-08-07,,
L00099,2025-04-04,Partner,Financial Services,Midwest,,,
L00100,2025-03-23,Paid Search,Financial Services,Midwest,2025-04-05,,
L00101,2025-01-12,Partner,Technology,Southeast,2025-01-18,2025-02-09,
L00102,2025-05-06,Outbound,Healthcare,Midwest,2025-05-08,2025-05-23,
L00103,2025-09-10,Outbound,Financial Services,Southeast,2025-09-23,2025-09-28,C0277
L00104,2025-04-27,Event,Retail,Southeast,2025-05-14,,
L00105,2025-09-14,Outbound,Retail,Southeast,2025-10-03,,
L00106,2026-06-21,Event,Financial Services,Northeast,2026-06-30,2026-07-23,C0072
L00107,2025-12-20,Referral,Technology,West,,,
L00108,2025-09-05,Organic Search,Healthcare,Midwest,,,
L00109,2026-04-19,Paid Search,Healthcare,Northeast,2026-05-04,2026-05-09,
L00110,2025-07-02,Organic Search,Financial Services,Southeast,2025-07-05,,
L00111,2025-09-01,Organic Search,Retail,Midwest,,,
L00112,2026-07-21,Organic Search,Professional Services,Midwest,2026-08-08,,
L00113,2025-04-29,Outbound,Financial Services,Northeast,,,
L00114,2026-01-08,Paid Search,Professional Services,Midwest,,,
L00115,2025-03-21,Partner,Financial Services,Midwest,2025-03-25,,
L00116,2025-10-17,Partner,Professional Services,West,,,
L00117,2025-07-09,Event,Technology,Southeast,,,
L00118,2025-11-10,Event,Healthcare,Southeast,2025-11-24,2025-11-21,
L00119,2025-07-13,Paid Search,Technology,Midwest,,,
L00120,2025-02-26,Event,Financial Services,West,,,
L00121,2025-11-06,Referral,Manufacturing,Northeast,,,
L00122,2025-04-07,Referral,Retail,Southeast,,,
L00123,2026-06-24,Outbound,Financial Services,Midwest,2026-06-27,2026-07-08,
L00124,2025-09-21,Organic Search,Manufacturing,West,2025-10-07,2025-10-25,
L00125,2026-03-15,Outbound,Financial Services,West,2026-03-18,,
L00126,2025-11-05,Organic Search,Manufacturing,Northeast,,,
L00127,2025-08-31,Outbound,Professional Services,Northeast,2025-09-17,2025-09-20,
L00128,2025-01-06,Event,Manufacturing,Northeast,2025-01-23,2025-01-23,C0046
L00129,2025-12-14,Referral,Retail,Southeast,2025-12-22,,
L00130,2026-07-22,Paid Search,Manufacturing,Northeast,2026-08-09,2026-07-30,
L00131,2025-05-24,Referral,Financial Services,Northeast,2025-05-29,,
L00132,2025-09-10,Organic Search,Professional Services,West,,,
L00133,2025-09-09,Paid Search,Technology,West,2025-09-17,2025-09-25,
L00134,2025-12-28,Paid Search,Financial Services,Northeast,2026-01-09,,
L00135,2025-07-07,Referral,Professional Services,Northeast,2025-07-17,,
L00136,2025-07-14,Outbound,Financial Services,West,,,
L00137,2026-01-26,Referral,Manufacturing,Northeast,2026-02-05,,
L00138,2025-03-20,Referral,Technology,Midwest,,,
L00139,2026-02-20,Paid Search,Healthcare,Northeast,,,
L00140,2026-07-30,Referral,Retail,West,2026-08-14,,
L00141,2026-05-28,Partner,Retail,Northeast,2026-06-15,,
L00142,2026-07-05,Event,Healthcare,Southeast,2026-07-18,,
L00143,2026-06-26,Outbound,Healthcare,West,,,
L00144,2026-03-07,Partner,Healthcare,Midwest,2026-03-13,2026-03-20,
L00145,2025-03-13,Paid Search,Professional Services,West,,,
L00146,2025-08-21,Referral,Retail,Southeast,2025-08-31,,
L00147,2026-02-27,Event,Retail,Northeast,,,
L00148,2025-04-25,Partner,Professional Services,Northeast,2025-05-05,,
L00149,2025-05-30,Referral,Manufacturing,Southeast,2025-06-07,2025-06-20,C0106
L00150,2025-07-05,Organic Search,Manufacturing,Southeast,2025-07-13,2025-08-09,
L00151,2025-10-29,Event,Healthcare,Southeast,,,
L00152,2025-12-18,Organic Search,Healthcare,Southeast,2026-01-02,,
L00153,2025-05-21,Paid Search,Retail,West,2025-05-24,,
L00154,2025-04-16,Organic Search,Technology,Northeast,2025-04-29,,
L00155,2025-08-03,Organic Search,Healthcare,West,2025-08-19,,
L00156,2025-03-22,Partner,Healthcare,Southeast,2025-04-04,2025-04-20,
L00157,2026-06-20,Paid Search,Healthcare,Southeast,2026-06-25,2026-07-04,
L00158,2026-01-15,Partner,Professional Services,Northeast,2026-01-30,2026-02-06,
L00159,2025-10-17,Referral,Healthcare,Midwest,2025-10-24,2025-11-01,
L00160,2026-02-15,Referral,Retail,West,2026-02-17,,
L00161,2026-03-27,Organic Search,Professional Services,West,,,
L00162,2026-06-15,Organic Search,Technology,Northeast,,,
L00163,2025-05-16,Organic Search,Financial Services,Southeast,2025-05-26,2025-06-17,
L00164,2025-07-07,Organic Search,Healthcare,West,2025-07-18,,
L00165,2025-01-21,Referral,Retail,Southeast,2025-01-24,2025-02-12,
L00166,2025-08-16,Organic Search,Professional Services,Northeast,2025-08-30,,
L00167,2025-06-27,Outbound,Professional Services,Southeast,,,
L00168,2025-11-25,Outbound,Financial Services,West,,,
L00169,2025-09-24,Organic Search,Technology,Midwest,2025-10-08,,
L00170,2025-08-02,Referral,Healthcare,West,2025-08-05,2025-09-06,
L00171,2025-07-28,Event,Manufacturing,Midwest,,,
L00172,2025-08-28,Organic Search,Professional Services,Midwest,2025-09-13,,
L00173,2025-07-28,Partner,Technology,Southeast,2025-08-01,,
L00174,2025-09-13,Partner,Technology,Midwest,2025-09-18,2025-10-12,C0227
L00175,2026-02-21,Outbound,Financial Services,Southeast,2026-03-12,,
L00176,2026-02-16,Paid Search,Professional Services,West,2026-03-06,,
L00177,2026-03-30,Outbound,Healthcare,Southeast,,,
L00178,2026-06-24,Event,Manufacturing,Northeast,,,
L00179,2025-02-16,Outbound,Retail,West,,,
L00180,2025-03-16,Organic Search,Healthcare,Midwest,,,
L00181,2025-05-29,Referral,Professional Services,Southeast,2025-06-04,,
L00182,2025-06-11,Organic Search,Retail,Northeast,,,
L00183,2025-01-30,Organic Search,Retail,Midwest,2025-02-18,,
L00184,2026-03-25,Paid Search,Financial Services,West,2026-04-05,,
L00185,2026-04-14,Partner,Technology,Northeast,2026-04-24,2026-05-19,C0137
L00186,2025-01-15,Referral,Technology,Northeast,,,
L00187,2026-07-08,Outbound,Healthcare,West,2026-07-23,2026-08-07,
L00188,2025-12-15,Organic Search,Retail,Northeast,,,
L00189,2026-02-24,Referral,Professional Services,Northeast,2026-03-07,,
L00190,2025-06-29,Partner,Professional Services,Southeast,2025-07-12,2025-07-31,
L00191,2025-01-15,Partner,Professional Services,West,,,
L00192,2025-01-30,Referral,Manufacturing,Southeast,2025-02-09,2025-02-14,C0108
L00193,2026-02-25,Referral,Financial Services,Midwest,,,
L00194,2025-03-02,Event,Professional Services,Northeast,,,
L00195,2025-08-03,Partner,Professional Services,West,,,
L00196,2025-05-10,Referral,Manufacturing,Southeast,2025-05-23,,
L00197,2025-11-15,Event,Financial Services,Northeast,2025-11-24,2025-12-01,
L00198,2025-06-18,Paid Search,Financial Services,West,,,
L00199,2026-06-12,Paid Search,Financial Services,Northeast,2026-06-22,2026-07-06,C0126
L00200,2025-04-17,Paid Search,Retail,Northeast,2025-04-29,2025-04-27,
L00201,2026-07-04,Paid Search,Technology,Southeast,2026-07-14,2026-08-02,
L00202,2025-06-14,Paid Search,Manufacturing,Northeast,,,
L00203,2026-04-10,Referral,Professional Services,Southeast,2026-04-21,,
L00204,2026-03-05,Outbound,Manufacturing,Midwest,2026-03-07,,
L00205,2026-03-07,Partner,Retail,West,2026-03-14,,
L00206,2026-02-02,Referral,Technology,Midwest,,,
L00207,2025-02-17,Event,Financial Services,West,,,
L00208,2025-12-13,Referral,Financial Services,Northeast,2026-01-01,2026-01-09,C0171
L00209,2025-12-22,Organic Search,Manufacturing,Northeast,,,
L00210,2025-11-22,Event,Manufacturing,West,2025-12-11,2025-12-14,
L00211,2025-01-16,Partner,Manufacturing,West,2025-02-04,2025-01-24,
L00212,2026-07-29,Outbound,Financial Services,Southeast,2026-08-06,2026-08-28,
L00213,2026-06-16,Partner,Healthcare,Midwest,,,
L00214,2026-06-12,Referral,Technology,Midwest,2026-06-30,2026-06-25,C0144
L00215,2025-09-24,Organic Search,Technology,Northeast,2025-10-08,2025-10-16,C0282
L00216,2025-02-08,Referral,Healthcare,Northeast,2025-02-26,2025-03-04,
L00217,2026-03-25,Organic Search,Professional Services,Northeast,2026-03-30,2026-04-13,C0053
L00218,2026-07-07,Referral,Healthcare,Southeast,2026-07-13,2026-08-01,C0052
L00219,2025-12-08,Organic Search,Technology,Midwest,,,
L00220,2025-04-09,Event,Healthcare,West,2025-04-28,,
L00221,2025-02-26,Paid Search,Manufacturing,Midwest,2025-03-05,,
L00222,2025-04-27,Organic Search,Financial Services,Southeast,2025-05-08,,
L00223,2025-05-16,Outbound,Retail,Southeast,2025-05-27,,
L00224,2025-06-07,Referral,Healthcare,Northeast,2025-06-10,2025-07-01,C0294
L00225,2025-07-05,Paid Search,Technology,Northeast,,,
L00226,2026-01-04,Outbound,Healthcare,Northeast,2026-01-14,,
L00227,2026-01-06,Partner,Technology,Northeast,2026-01-24,2026-01-23,
L00228,2025-04-11,Event,Manufacturing,Midwest,2025-04-14,,
L00229,2025-01-29,Outbound,Financial Services,Northeast,,,
L00230,2026-06-09,Event,Manufacturing,Southeast,2026-06-28,,
L00231,2025-09-16,Referral,Financial Services,Southeast,,,
L00232,2025-03-21,Organic Search,Financial Services,Southeast,,,
L00233,2025-01-31,Outbound,Healthcare,West,,,
L00234,2025-11-19,Referral,Technology,West,2025-12-07,,
L00235,2026-02-04,Paid Search,Retail,Northeast,2026-02-13,,
L00236,2025-06-16,Outbound,Healthcare,Midwest,2025-06-21,,
L00237,2025-01-28,Outbound,Professional Services,Northeast,2025-02-04,2025-02-19,C0100
L00238,2025-09-24,Referral,Healthcare,Southeast,,,
L00239,2026-07-26,Event,Retail,Southeast,2026-08-03,2026-08-10,
L00240,2026-01-06,Organic Search,Retail,Southeast,2026-01-09,,
L00241,2025-01-09,Partner,Financial Services,Midwest,,,
L00242,2025-07-31,Partner,Technology,Midwest,,,
L00243,2025-02-28,Organic Search,Professional Services,West,,,
L00244,2026-04-08,Partner,Manufacturing,Midwest,2026-04-16,2026-04-20,
L00245,2026-01-09,Paid Search,Technology,Southeast,2026-01-22,2026-02-02,
L00246,2026-07-07,Partner,Technology,West,2026-07-18,,
L00247,2025-01-28,Organic Search,Professional Services,Midwest,2025-02-15,2025-02-23,C0100
L00248,2025-07-24,Referral,Healthcare,West,2025-08-07,2025-08-23,
L00249,2025-09-30,Referral,Retail,Northeast,2025-10-09,2025-10-26,C0031
L00250,2025-01-27,Paid Search,Technology,Northeast,2025-02-04,2025-02-21,
L00251,2026-02-18,Organic Search,Professional Services,Midwest,2026-02-20,2026-03-16,
L00252,2026-06-27,Paid Search,Retail,Midwest,2026-07-03,2026-07-18,
L00253,2025-05-08,Outbound,Retail,West,2025-05-15,,
L00254,2025-10-31,Event,Manufacturing,Midwest,,,
L00255,2025-01-23,Partner,Professional Services,Southeast,2025-02-01,,
L00256,2025-12-28,Outbound,Technology,Northeast,,,
L00257,2025-04-04,Referral,Healthcare,West,2025-04-13,,
L00258,2026-04-17,Event,Manufacturing,Midwest,2026-05-03,2026-04-30,
L00259,2026-05-11,Paid Search,Professional Services,Midwest,2026-05-20,2026-06-02,
L00260,2025-03-20,Outbound,Professional Services,West,2025-04-01,2025-04-19,
L00261,2025-04-14,Partner,Healthcare,Northeast,2025-05-01,,
L00262,2025-09-17,Organic Search,Financial Services,Southeast,2025-09-30,2025-10-11,
L00263,2026-04-09,Partner,Financial Services,Southeast,,,
L00264,2026-02-11,Outbound,Professional Services,West,2026-02-18,2026-03-10,C0073
L00265,2025-10-29,Referral,Manufacturing,Southeast,,,
L00266,2026-01-01,Event,Manufacturing,Southeast,,,
L00267,2025-07-18,Event,Healthcare,Southeast,2025-07-31,2025-08-18,C0054
L00268,2025-05-15,Partner,Financial Services,West,2025-05-20,,
L00269,2026-03-04,Event,Technology,West,2026-03-22,2026-03-18,
L00270,2026-03-30,Referral,Retail,West,2026-04-01,2026-04-07,C0022
L00271,2025-05-10,Organic Search,Financial Services,Northeast,,,
L00272,2025-11-03,Referral,Financial Services,West,2025-11-08,,
L00273,2026-02-07,Referral,Retail,Midwest,2026-02-10,2026-02-27,
L00274,2025-03-04,Partner,Healthcare,Southeast,2025-03-14,,
L00275,2025-05-20,Partner,Professional Services,Southeast,2025-05-26,,
L00276,2026-02-13,Event,Financial Services,Midwest,2026-02-18,2026-03-13,C0241
L00277,2026-04-20,Partner,Healthcare,West,2026-04-30,,
L00278,2025-10-17,Referral,Financial Services,West,2025-10-22,2025-10-31,
L00279,2025-05-20,Partner,Professional Services,Northeast,2025-05-24,2025-06-01,
L00280,2025-01-14,Partner,Manufacturing,Southeast,,,
L00281,2025-03-31,Referral,Manufacturing,Northeast,,,
L00282,2026-04-03,Partner,Technology,Southeast,2026-04-16,2026-04-20,C0161
L00283,2025-06-16,Paid Search,Financial Services,Midwest,2025-06-22,2025-07-14,C0180
L00284,2025-10-30,Event,Professional Services,Midwest,2025-11-15,2025-11-08,
L00285,2025-02-06,Paid Search,Manufacturing,West,2025-02-25,2025-02-24,
L00286,2025-10-02,Organic Search,Healthcare,Southeast,,,
L00287,2025-09-30,Referral,Technology,Northeast,,,
L00288,2026-02-03,Organic Search,Financial Services,Northeast,,,
L00289,2026-05-11,Paid Search,Technology,Northeast,2026-05-23,2026-06-11,
L00290,2026-06-15,Partner,Retail,Northeast,2026-06-24,2026-06-30,
L00291,2026-02-25,Organic Search,Healthcare,Midwest,,,
L00292,2025-01-05,Referral,Manufacturing,Northeast,2025-01-14,,
L00293,2026-06-03,Referral,Manufacturing,Southeast,2026-06-15,,
L00294,2026-02-21,Organic Search,Manufacturing,Southeast,,,
L00295,2025-12-10,Organic Search,Healthcare,Midwest,,,
L00296,2025-04-11,Organic Search,Manufacturing,Midwest,2025-04-16,2025-04-29,
L00297,2025-05-28,Paid Search,Manufacturing,West,2025-06-15,2025-06-13,
L00298,2025-07-13,Paid Search,Financial Services,Southeast,2025-07-24,,
L00299,2025-01-07,Organic Search,Financial Services,West,2025-01-14,,
L00300,2025-04-26,Outbound,Healthcare,Southeast,,,
L00301,2025-10-15,Partner,Professional Services,West,2025-10-24,2025-11-07,C0049
L00302,2025-04-27,Organic Search,Technology,Northeast,2025-05-14,,
L00303,2025-02-03,Organic Search,Retail,Northeast,2025-02-21,,
L00304,2026-01-09,Paid Search,Retail,Southeast,,,
L00305,2026-07-02,Partner,Financial Services,Northeast,2026-07-20,2026-07-29,
L00306,2025-12-24,Referral,Financial Services,Midwest,,,
L00307,2026-06-24,Referral,Retail,Southeast,2026-07-06,,
L00308,2026-02-25,Partner,Financial Services,Northeast,,,
L00309,2025-11-03,Outbound,Technology,Midwest,,,
L00310,2025-03-30,Paid Search,Financial Services,Midwest,,,
L00311,2026-01-14,Referral,Professional Services,Northeast,,,
L00312,2025-02-01,Event,Healthcare,Northeast,2025-02-09,2025-03-05,
L00313,2025-03-28,Event,Manufacturing,Northeast,2025-04-07,,
L00314,2025-07-21,Organic Search,Financial Services,West,2025-07-30,,
L00315,2025-04-13,Paid Search,Manufacturing,Northeast,2025-04-18,2025-05-01,
L00316,2025-06-28,Paid Search,Financial Services,West,,,
L00317,2025-11-12,Referral,Retail,Midwest,,,
L00318,2025-07-03,Organic Search,Retail,Northeast,,,
L00319,2025-10-31,Paid Search,Manufacturing,Southeast,,,
L00320,2026-01-02,Organic Search,Technology,Southeast,2026-01-10,2026-01-23,
L00321,2025-05-15,Referral,Professional Services,Northeast,2025-05-27,2025-06-09,
L00322,2026-04-08,Referral,Technology,Northeast,2026-04-11,,
L00323,2025-08-29,Referral,Professional Services,Southeast,2025-09-17,2025-09-16,
L00324,2026-01-09,Organic Search,Technology,Midwest,,,
L00325,2026-04-26,Partner,Healthcare,Midwest,,,
L00326,2025-01-26,Organic Search,Professional Services,Northeast,,,
L00327,2026-06-07,Event,Technology,Midwest,,,
L00328,2025-01-16,Paid Search,Professional Services,West,,,
L00329,2025-07-03,Partner,Financial Services,Midwest,,,
L00330,2026-05-12,Organic Search,Manufacturing,Northeast,,,
L00331,2026-04-28,Event,Professional Services,Southeast,2026-05-12,2026-05-14,
L00332,2025-01-01,Event,Professional Services,Midwest,,,
L00333,2025-09-06,Paid Search,Professional Services,Midwest,,,
L00334,2026-06-10,Outbound,Manufacturing,Southeast,2026-06-14,2026-07-08,
L00335,2026-04-22,Organic Search,Financial Services,Midwest,2026-04-26,2026-05-23,C0045
L00336,2025-04-20,Organic Search,Financial Services,West,2025-04-25,2025-04-29,
L00337,2026-06-25,Paid Search,Retail,West,2026-07-09,,
L00338,2026-04-24,Organic Search,Professional Services,West,,,
L00339,2025-07-16,Paid Search,Financial Services,Southeast,2025-07-20,2025-08-07,C0014
L00340,2025-02-05,Organic Search,Retail,Southeast,2025-02-13,2025-02-27,C0188
L00341,2025-03-27,Event,Retail,Midwest,2025-04-03,,
L00342,2025-01-08,Referral,Healthcare,Midwest,2025-01-21,2025-01-21,
L00343,2025-01-09,Referral,Healthcare,Midwest,,,
L00344,2026-01-13,Referral,Healthcare,Southeast,2026-01-29,2026-01-31,
L00345,2025-01-06,Paid Search,Manufacturing,Midwest,2025-01-23,,
L00346,2025-09-18,Event,Technology,Northeast,2025-09-28,,
L00347,2025-09-16,Paid Search,Manufacturing,Southeast,2025-09-28,2025-10-20,
L00348,2025-03-13,Partner,Financial Services,Midwest,,,
L00349,2026-03-14,Outbound,Financial Services,Midwest,2026-03-29,,
L00350,2025-11-11,Partner,Professional Services,Northeast,2025-11-29,2025-11-26,
L00351,2025-08-12,Outbound,Professional Services,West,2025-08-16,,
L00352,2025-01-03,Event,Healthcare,Northeast,,,
L00353,2025-11-02,Partner,Healthcare,Southeast,,,
L00354,2026-01-23,Organic Search,Manufacturing,West,2026-02-11,,
L00355,2026-05-28,Outbound,Technology,Midwest,2026-06-01,2026-06-16,C0296
L00356,2025-04-04,Partner,Healthcare,Northeast,2025-04-11,,
L00357,2026-04-01,Referral,Manufacturing,Southeast,2026-04-08,2026-04-17,
L00358,2026-05-04,Partner,Manufacturing,Midwest,2026-05-18,,
L00359,2026-02-24,Paid Search,Technology,Northeast,2026-03-09,,
L00360,2025-06-15,Referral,Technology,Midwest,2025-06-30,,
L00361,2025-06-21,Outbound,Financial Services,West,2025-06-28,,
L00362,2026-03-21,Referral,Professional Services,Northeast,,,
L00363,2026-07-25,Referral,Manufacturing,West,,,
L00364,2026-01-28,Event,Technology,Northeast,,,
L00365,2026-04-17,Organic Search,Manufacturing,Midwest,,,
L00366,2025-01-27,Outbound,Manufacturing,West,2025-02-07,2025-02-04,
L00367,2026-01-01,Referral,Technology,Midwest,2026-01-09,,
L00368,2025-10-09,Referral,Healthcare,Northeast,2025-10-11,,
L00369,2026-04-25,Organic Search,Technology,Northeast,2026-05-07,2026-05-20,
L00370,2025-12-02,Outbound,Financial Services,Southeast,2025-12-16,2025-12-11,
L00371,2026-02-26,Paid Search,Retail,Southeast,2026-03-17,2026-03-31,C0197
L00372,2025-07-17,Outbound,Retail,West,,,
L00373,2025-09-02,Referral,Retail,Southeast,2025-09-06,2025-09-17,
L00374,2025-02-23,Organic Search,Financial Services,Northeast,2025-02-28,,
L00375,2025-04-19,Referral,Manufacturing,Southeast,2025-04-24,2025-05-17,
L00376,2026-07-25,Paid Search,Professional Services,Northeast,2026-08-07,2026-08-16,C0229
L00377,2025-10-30,Paid Search,Healthcare,Northeast,,,
L00378,2026-04-19,Organic Search,Retail,West,2026-04-22,,
L00379,2025-11-02,Organic Search,Manufacturing,West,2025-11-12,,
L00380,2025-05-11,Organic Search,Retail,Southeast,,,
L00381,2025-04-05,Referral,Manufacturing,Southeast,,,
L00382,2025-08-17,Event,Retail,Northeast,,,
L00383,2026-05-18,Referral,Manufacturing,Northeast,2026-05-23,2026-06-04,C0180
L00384,2025-08-26,Outbound,Financial Services,Southeast,,,
L00385,2025-02-19,Event,Professional Services,Midwest,2025-02-21,2025-03-23,C0156
L00386,2025-12-17,Event,Technology,Midwest,2025-12-22,,
L00387,2025-02-03,Event,Financial Services,West,,,
L00388,2025-07-03,Paid Search,Professional Services,Southeast,2025-07-12,2025-07-11,
L00389,2025-07-26,Organic Search,Financial Services,Southeast,2025-08-07,2025-08-22,
L00390,2025-05-23,Outbound,Healthcare,West,,,
L00391,2025-09-27,Paid Search,Technology,West,2025-10-10,,
L00392,2026-03-06,Referral,Healthcare,Northeast,2026-03-20,,
L00393,2025-09-30,Partner,Professional Services,Southeast,,,
L00394,2026-07-25,Organic Search,Manufacturing,West,,,
L00395,2025-04-18,Referral,Retail,Midwest,2025-04-23,,
L00396,2025-10-07,Organic Search,Retail,Northeast,,,
L00397,2025-06-21,Referral,Retail,Northeast,,,
L00398,2025-07-03,Partner,Financial Services,Southeast,2025-07-06,2025-07-11,C0082
